ZIP Code,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,Land Area,Water Area,Latitude,Longitude
43501,43501,B5,G6350,S,62578564,192975,+41.6726550,-084.4617960
43502,43502,B5,G6350,S,178072210,1083442,+41.5345544,-084.2937871
43504,43504,B5,G6350,S,39685154,0,+41.6957790,-083.8367660
43505,43505,B5,G6350,S,253028,0,+41.5239422,-084.7312727
43506,43506,B5,G6350,S,263293741,864371,+41.4662106,-084.5571335
43511,43511,B5,G6350,S,118161159,29912,+41.2625594,-083.8147261
43512,43512,B5,G6350,S,566492403,7812972,+41.3033782,-084.3582793
43515,43515,B5,G6350,S,211470198,706712,+41.5854010,-084.0083342
43516,43516,B5,G6350,S,182219710,90484,+41.2149032,-083.9152423
43517,43517,B5,G6350,S,167784814,784495,+41.4339468,-084.7285498
43518,43518,B5,G6350,S,177638273,261756,+41.5964884,-084.7577482
43519,43519,B5,G6350,S,3329082,6774,+41.4194651,-084.4068724
43521,43521,B5,G6350,S,172344988,863301,+41.6604894,-084.2979938
43522,43522,B5,G6350,S,82008195,2638256,+41.4203100,-083.8324020
43523,43523,B5,G6350,S,3552265,0,+41.3370649,-083.9892543
43524,43524,B5,G6350,S,77957242,13318,+41.2270589,-084.0385107
43525,43525,B5,G6350,S,2945089,0,+41.4665824,-083.7044501
43526,43526,B5,G6350,S,201124431,21182,+41.3128056,-084.7253089
43527,43527,B5,G6350,S,136154244,41927,+41.2461091,-084.1575024
43528,43528,B5,G6350,S,48152877,93012,+41.6288552,-083.7495751
97884,97884,B5,G6350,S,206023219,4010387,+44.4553413,-118.2222341
97885,97885,B5,G6350,S,780670418,0,+45.6556568,-117.5117500
97886,97886,B5,G6350,S,368695565,187897,+45.8023079,-118.2724104
97901,97901,B5,G6350,S,257708795,4119642,+43.6214451,-117.1072752
97903,97903,B5,G6350,S,309262987,284336,+44.2469148,-117.6456167
97904,97904,B5,G6350,S,1594289281,2153245,+43.8861787,-118.5229286
97905,97905,B5,G6350,S,536124587,0,+44.5738200,-117.4595124
97906,97906,B5,G6350,S,3199764003,792608,+43.5370386,-117.7746785
97907,97907,B5,G6350,S,821162228,15887565,+44.4195014,-117.3455140
97908,97908,B5,G6350,S,915270105,2154761,+44.3123779,-117.9278861
97909,97909,B5,G6350,S,128607247,0,+44.2465125,-117.4189859
97911,97911,B5,G6350,S,1809838043,14822633,+43.7364817,-118.0413879
97914,97914,B5,G6350,S,662715734,6940089,+44.1136188,-117.0841615
97918,97918,B5,G6350,S,1111696058,2893853,+44.0371142,-117.3510723
97920,97920,B5,G6350,S,1201097780,193873,+44.0721806,-117.8542824
71944,71944,B5,G6350,S,108628051,541991,+34.2428242,-094.3327689
73118,73118,B5,G6350,S,12872690,7266,+35.5179676,-097.5287181
71945,71945,B5,G6350,S,185575195,1151905,+34.4851525,-094.3395650
73119,73119,B5,G6350,S,15729207,0,+35.4220070,-097.5661255
71949,71949,B5,G6350,S,538557560,71790783,+34.6990852,-093.2207979
71950,71950,B5,G6350,S,95661017,3251564,+34.2561582,-093.7180631
71952,71952,B5,G6350,S,68113650,492985,+34.2808720,-093.8845327
73120,73120,B5,G6350,S,28678015,6539020,+35.5813161,-097.5736742
73121,73121,B5,G6350,S,25995071,54943,+35.5205166,-097.4395273
73122,73122,B5,G6350,S,8581570,89704,+35.5204840,-097.6134401
73127,73127,B5,G6350,S,31437070,452183,+35.4774218,-097.6531944
73128,73128,B5,G6350,S,17124103,29410,+35.4584819,-097.6623814
73129,73129,B5,G6350,S,32593586,0,+35.4314777,-097.4842815
71953,71953,B5,G6350,S,1655675822,8216506,+34.6080155,-094.1971930
73130,73130,B5,G6350,S,25814910,0,+35.4586519,-097.3455861
73131,73131,B5,G6350,S,31137541,55855,+35.5764578,-097.4692940
71956,71956,B5,G6350,S,60062705,5497080,+34.5986356,-093.1534376
73132,73132,B5,G6350,S,19359460,643087,+35.5534001,-097.6333255
73134,73134,B5,G6350,S,10761077,0,+35.6142175,-097.5683128
71957,71957,B5,G6350,S,362416453,33803615,+34.5650238,-093.5747012
73135,73135,B5,G6350,S,30026168,85272,+35.4002683,-097.4330755
73139,73139,B5,G6350,S,11334529,4186,+35.3863767,-097.5256886
71958,71958,B5,G6350,S,278739048,9486904,+34.1233523,-093.6646132
73141,73141,B5,G6350,S,27835435,36659,+35.5199620,-097.3944747
71959,71959,B5,G6350,S,158573246,577342,+34.2431655,-093.9315844
73142,73142,B5,G6350,S,25326173,423791,+35.6164315,-097.6454346
94133,94133,B5,G6350,S,1955596,646917,+37.8045315,-122.4108520
94134,94134,B5,G6350,S,6210539,90877,+37.7210461,-122.4135554
94158,94158,B5,G6350,S,1703879,1342701,+37.7698930,-122.3870114
94301,94301,B5,G6350,S,6141696,0,+37.4441310,-122.1499165
94303,94303,B5,G6350,S,20630668,1895733,+37.4578826,-122.1150968
94304,94304,B5,G6350,S,16836590,36477,+37.3747017,-122.1816956
94305,94305,B5,G6350,S,13281878,117653,+37.4182561,-122.1708709
94306,94306,B5,G6350,S,10860446,0,+37.4157026,-122.1307715
94401,94401,B5,G6350,S,8261358,2675262,+37.5769477,-122.3169034
94402,94402,B5,G6350,S,12595920,0,+37.5236020,-122.3449203
94403,94403,B5,G6350,S,14584967,433427,+37.5384494,-122.3054470
94404,94404,B5,G6350,S,11135201,1454326,+37.5559985,-122.2676793
94501,94501,B5,G6350,S,20513096,9031621,+37.7737930,-122.2781151
94502,94502,B5,G6350,S,6942426,3080787,+37.7375733,-122.2455205
94503,94503,B5,G6350,S,33465385,6954857,+38.1863204,-122.2636108
94505,94505,B5,G6350,S,41074733,14860858,+37.8712683,-121.5969840
94506,94506,B5,G6350,S,48528979,31771,+37.8096292,-121.9132414
94507,94507,B5,G6350,S,32880250,0,+37.8504159,-122.0210973
42440,42440,B5,G6350,S,2586720,5933,+37.2407268,-087.4646023
48801,48801,B5,G6350,S,185048112,1591314,+43.3741008,-084.6775418
42441,42441,B5,G6350,S,154332520,3164935,+37.3626476,-087.6685288
39563,39563,B5,G6350,S,52737197,4236994,+30.4217495,-088.5230818
48806,48806,B5,G6350,S,167516582,863505,+43.1868911,-084.5001610
42442,42442,B5,G6350,S,158276861,2016978,+37.1671029,-087.4883932
48807,48807,B5,G6350,S,72358511,64608,+43.1504763,-084.4020062
48808,48808,B5,G6350,S,63852277,6382767,+42.8288357,-084.4447756
48809,48809,B5,G6350,S,212472813,7290487,+43.0752987,-085.2579615
42445,42445,B5,G6350,S,686341114,6736358,+37.1333391,-087.8517396
39564,39564,B5,G6350,S,137509888,15055138,+30.4047703,-088.7712286
48811,48811,B5,G6350,S,162738439,540861,+43.1813460,-084.8536167
42450,42450,B5,G6350,S,154384677,3989647,+37.3958701,-087.7634021
39565,39565,B5,G6350,S,722425237,7263746,+30.5870947,-088.7444625
42451,42451,B5,G6350,S,102383618,14652897,+37.8845326,-087.3907071
42452,42452,B5,G6350,S,138739179,1891238,+37.6865115,-087.5316717
42453,42453,B5,G6350,S,42396017,600180,+37.1578560,-087.5907124
39567,39567,B5,G6350,S,34441841,2697208,+30.2227146,-088.5136467
48813,48813,B5,G6350,S,439812250,1314033,+42.5797748,-084.8458912
42455,42455,B5,G6350,S,197698998,2899002,+37.5933753,-087.5425510
48815,48815,B5,G6350,S,71132416,658959,+42.8343711,-085.2585846
48816,48816,B5,G6350,S,1196194,736,+42.7650090,-083.9559809
42456,42456,B5,G6350,S,173134253,1310262,+37.5077055,-087.4960966
42458,42458,B5,G6350,S,42676188,1612578,+37.8395629,-087.4209423
48817,48817,B5,G6350,S,153059485,1069092,+43.0139493,-084.0428844
48818,48818,B5,G6350,S,65434879,4792569,+43.2726929,-084.8903324
42459,42459,B5,G6350,S,312944337,10077275,+37.5668063,-088.0190479
95834,95834,B5,G6350,S,25784173,799626,+38.6352119,-121.5186075
95835,95835,B5,G6350,S,23131552,207118,+38.6706486,-121.5259826
95837,95837,B5,G6350,S,46722266,1087684,+38.6937650,-121.5989406
95838,95838,B5,G6350,S,23528635,12257,+38.6457235,-121.4452544
95841,95841,B5,G6350,S,10556569,0,+38.6603703,-121.3473936
95842,95842,B5,G6350,S,10156381,0,+38.6867807,-121.3491664
95843,95843,B5,G6350,S,16701346,0,+38.7154633,-121.3634220
95864,95864,B5,G6350,S,16605045,368916,+38.5840466,-121.3758456
95901,95901,B5,G6350,S,509077850,4205077,+39.2239387,-121.4940499
95903,95903,B5,G6350,S,37740908,25614,+39.1060986,-121.3681796
95910,95910,B5,G6350,S,88769694,4207,+39.4911263,-120.8172323
95912,95912,B5,G6350,S,467601879,744186,+39.0167022,-122.0621433
95914,95914,B5,G6350,S,37956864,0,+39.4468370,-121.3704320
95915,95915,B5,G6350,S,58437116,52058,+40.0499370,-121.3115424
37351,37351,B5,G6350,S,1185513,204904,+35.1002851,-085.2603629
37352,37352,B5,G6350,S,128409524,2309055,+35.2775203,-086.3530268
33597,33597,B5,G6350,S,342250418,16214988,+28.5455315,-082.0805317
37353,37353,B5,G6350,S,95298016,13440,+35.1150099,-084.9890965
33598,33598,B5,G6350,S,280290960,3000436,+27.6934231,-082.2846591
37354,37354,B5,G6350,S,298747736,1564586,+35.5065544,-084.3476092
33602,33602,B5,G6350,S,6602453,934941,+27.9535304,-082.4571128
33603,33603,B5,G6350,S,10714771,250887,+27.9856178,-082.4644389
37355,37355,B5,G6350,S,562932847,7594780,+35.4997867,-086.0838331
33604,33604,B5,G6350,S,19285485,1123313,+28.0171543,-082.4553503
37356,37356,B5,G6350,S,62629598,116387,+35.2288775,-085.8236940
37357,37357,B5,G6350,S,363927353,77359,+35.5852879,-085.9173400
37359,37359,B5,G6350,S,93640110,0,+35.2042001,-086.4128769
37360,37360,B5,G6350,S,72315553,3986298,+35.4375776,-086.2543283
37361,37361,B5,G6350,S,47586382,2914269,+35.1014711,-084.6866446
